id,table,diagnosisYear,ageSpecificIncidenceAge0_49,ageSpecificIncidenceAge50_54,ageSpecificIncidenceAge55_59,ageSpecificIncidenceAge60_64,ageSpecificIncidenceAge65_69,ageSpecificIncidenceAge70_74,ageSpecificIncidenceAge75_79,ageSpecificIncidenceAge80_84,ageSpecificIncidenceAge85_89,ageSpecificIncidenceAge90
28,Female,2022,0.45586121,5.2054558,7.1354542,8.0945492,8.0224524,6.3152623,4.664072,4.7447882,1.9993069,3.7600183
29,Female,2023,0.43334955,4.9477601,7.9957571,8.2631855,7.8887448,6.4604406,6.2697363,5.5548739,3.665396,4.9169469
30,,,,,,,,,,,,
31,IMD1 (most deprived),All Years,,,,,,,,,,
32,IMD1 (most deprived),2016,1.1788837,17.325317,21.57221,21.790041,24.274233,18.817387,11.058196,7.9789357,4.0193248,2.7917364
33,IMD1 (most deprived),2017,0.99519145,13.271135,20.395344,23.418135,24.531649,15.867762,13.758431,8.4491777,3.2039473,5.5523167
34,IMD1 (most deprived),2018,1.1446062,14.989493,22.847641,26.612875,22.948442,21.828032,15.605145,13.270096,2.4103742,5.6138773
35,IMD1 (most deprived),2019,1.1313859,13.509387,22.702353,28.133406,22.148994,19.261192,15.418559,11.635348,2.4078593,6.8804183
36,IMD1 (most deprived),2020,1.0807586,14.800677,25.346592,21.449827,23.604576,23.677523,14.617105,8.3298626,5.691936,4.2022691
37,IMD1 (most deprived),2021,1.2965382,13.383719,18.503613,27.029587,23.034521,20.147514,12.142922,6.5521307,5.0015559,4.7523999
38,IMD1 (most deprived),2022,1.0488671,12.351744,16.81999,25.943657,23.532362,21.570263,11.974655,10.71708,5.5466704,4.4530206
39,IMD1 (most deprived),2023,0.99770284,11.088497,16.377357,22.830418,26.831291,17.624483,15.395985,12.324642,9.2444506,1.4843402
40,,,,,,,,,,,,
41,IMD2,All Years,,,,,,,,,,
42,IMD2,2016,0.9654187,11.436721,16.191835,20.661421,13.508287,13.267591,11.882835,7.9876904,7.9433899,4.5156922
43,IMD2,2017,0.87182224,12.239463,13.56713,21.254137,18.24334,12.667511,7.4596014,4.9771051,3.9323118,3.3709381
44,IMD2,2018,0.81755388,11.775524,18.43148,19.727274,14.83057,12.553164,11.894486,8.1440191,5.9135051,3.3671546
45,IMD2,2019,1.0384182,13.99146,17.790455,21.303902,20.531071,15.997141,9.4881439,11.590589,6.5105863,2.1800029
46,IMD2,2020,0.72666913,11.922409,17.356724,22.117868,19.169153,15.71015,13.022152,5.1912994,7.1661239,3.2719657
47,IMD2,2021,0.86057472,12.456353,17.581528,21.02877,22.236641,14.235799,15.708527,11.69686,6.2993932,4.956089
48,IMD2,2022,0.70244509,9.9419737,15.3323,16.315359,20.185278,16.004118,13.168846,11.493073,4.0571241,4.5648551
49,IMD2,2023,0.68893653,11.016782,18.754688,22.017815,18.050297,18.383108,13.168846,8.6198053,5.4094992,5.706069
50,,,,,,,,,,,,
51,IMD3,All Years,,,,,,,,,,
52,IMD3,2016,1.085063,7.8497705,17.36577,14.827488,15.112071,11.255657,7.4026289,4.9389687,3.9447954,1.9153786
53,IMD3,2017,1.0844593,11.273308,14.480042,13.123024,13.887686,14.806014,7.5593476,4.8476119,3.8548803,3.7830782
54,IMD3,2018,1.0822695,11.127393,16.815315,16.801365,13.379425,11.213721,12.396464,7.4244061,9.808569,4.686255
55,IMD3,2019,0.68357849,10.803626,15.679826,17.187641,20.111135,16.721928,11.141144,6.2490749,6.4384589,2.7132869
56,IMD3,2020,0.93910956,12.308474,17.09272,16.777544,19.142355,15.694027,9.5705614,4.8856435,6.4068341,5.3879309
57,IMD3,2021,0.86566395,14.504774,20.152433,20.653366,23.67293,17.619463,17.179895,9.3705511,6.9090595,4.9994001
58,IMD3,2022,0.86030591,12.940923,16.458511,19.239826,17.349918,10.202437,10.156366,7.8748684,3.1207252,7.2753067
59,IMD3,2023,0.77130872,10.980177,12.503366,19.239826,18.030308,12.529309,13.887277,7.8748684,5.7213297,8.18472
60,,,,,,,,,,,,
61,IMD3,All Years,,,,,,,,,,
62,IMD3,2016,1.0629084,10.68123,11.806654,14.871355,14.189018,11.732619,8.5728216,5.5665979,3.1870139,0.91224229
63,IMD4,2017,1.064922,10.842538,16.223671,19.279562,13.318209,10.83831,9.650856,9.9226036,3.0986295,2.6909933
64,IMD4,2018,0.95684135,11.586722,15.013967,17.736059,15.922939,12.377071,6.986867,7.1482515,2.5378778,4.4176245
65,IMD4,2019,1.0196102,14.226932,12.829659,17.997837,18.074997,11.717762,10.161973,8.1330442,3.4729457,4.2530026
66,IMD4,2020,1.0343989,12.285043,15.271992,16.101845,16.781799,12.979973,10.14722,4.7619758,4.4155741,4.1916418
67,IMD4,2021,0.78935885,10.527965,19.262787,23.96624,20.55019,18.775126,13.287107,11.484435,7.4759045,7.0659251
68,IMD4,2022,0.67177236,7.6029754,13.223008,15.89743,18.423616,11.697332,7.9434867,7.3968215,3.7024353,1.6632985
69,IMD4,2023,0.8637073,9.6647987,16.216898,16.734138,16.484289,13.180093,9.9755411,8.8761864,6.0164576,8.3164921
70,,,,,,,,,,,,
71,IMD5 (least deprived),All Years,,,,,,,,,,
72,IMD5 (least deprived),2016,0.96175224,10.445407,13.787417,13.89598,11.113882,6.7112789,8.603096,5.029675,6.5305305,3.5214987
73,IMD5 (least deprived),2017,0.93404078,10.052981,12.216553,12.84959,8.9354677,9.7403011,6.8290086,4.290175,3.9184568,2.5643437
74,IMD5 (least deprived),2018,0.82338303,11.287874,14.290622,17.974352,13.797796,9.1375656,7.7018914,4.1588068,3.8365993,2.5199497
75,IMD5 (least deprived),2019,1.2140083,10.750675,16.749004,17.365789,17.093279,8.9822912,11.815963,5.1810789,2.808305,1.6034763
76,IMD5 (least deprived),2020,1.0363022,10.402516,15.339871,16.814684,14.720156,10.546815,8.9916668,5.118464,4.1334081,1.570549
77,IMD5 (least deprived),2021,0.81169927,11.271268,18.760738,19.901308,20.711515,17.445885,15.879829,8.3371696,7.0307007,6.163518
78,IMD5 (least deprived),2022,0.72928739,9.5519266,15.087865,13.853594,11.967933,11.854054,9.4818354,7.3372955,4.2746735,3.8538616
79,IMD5 (least deprived),2023,0.67956322,7.666678,13.840934,16.092558,17.304983,12.494814,10.710962,8.4661102,6.8394775,2.3123169
80,,,,,,,,,,,,
81,East Midlands,All Years,,,,,,,,,,
82,East Midlands,2016,1.3980095,9.6441317,17.021561,18.118814,12.127308,9.0507565,11.228175,2.5602512,6.9393363,0
83,East Midlands,2017,1.6283954,10.109266,18.07431,15.688501,11.949394,9.0968857,3.6844399,6.7062335,6.8162608,2.3941774
84,East Midlands,2018,0.88002783,12.355789,14.726249,16.167198,16.507668,15.392934,10.05941,3.2593195,1.3485267,4.802382
85,East Midlands,2019,1.2531846,13.454674,18.617029,18.017563,22.187534,13.229006,10.110201,7.1070962,3.9677815,0
86,East Midlands,2020,1.3248961,11.869642,16.08675,24.88216,20.098997,17.743628,8.6021509,6.2679715,7.9030557,4.6671176
87,East Midlands,2021,0.95210505,12.684904,13.480683,24.422674,17.687914,13.439931,13.844378,10.200318,5.1869912,2.3049972
88,East Midlands,2022,1.1117666,10.755314,19.125502,16.713366,17.494616,12.046983,7.970892,6.1686034,3.8018477,0
89,East Midlands,2023,0.80855751,11.336682,12.750334,21.629061,15.55077,12.850116,10.315272,8.4818296,5.0691304,4.5236588
90,,,,,,,,,,,,
91,East of England,All Years,,,,,,,,,,
92,East of England,2016,0.94098407,9.9882641,14.91682,14.639713,13.122297,10.908848,7.5869656,3.0860958,4.8664641,3.335557
93,East of England,2017,0.73097795,10.547032,12.951394,17.384489,11.590068,10.503567,5.1665506,4.2529407,3.821717,1.6465513
94,East of England,2018,0.88728577,9.8288441,18.545168,18.230011,12.911715,10.963176,8.2030344,8.3120089,2.8530128,6.543539
95,East of England,2019,1.1999274,13.195031,14.685914,20.724094,19.938316,14.101198,8.7080708,7.5496244,4.6828318,3.1780839
96,East of England,2020,0.86134219,13.540167,15.019349,16.877871,17.287769,14.015542,10.037767,3.4734886,3.7224538,6.3381395
97,East of England,2021,0.77942342,13.332129,21.644224,19.319109,19.056961,14.961952,15.003514,9.9580011,5.5049911,3.1315567
98,East of England,2022,0.51686436,11.408909,19.367746,17.709209,15.360275,13.999453,7.8390851,9.8267603,7.1527562,1.5262049
99,East of England,2023,0.90451264,8.6707706,15.722053,16.927921,18.739536,12.726775,10.689661,9.2487154,7.1527562,4.5786147
100,,,,,,,,,,,,
101,London,All Years,,,,,,,,,,
102,London,2016,0.51460922,7.6341844,13.244171,15.585135,13.700105,10.888739,8.8109608,4.3782516,3.5635803,2.0032854
103,London,2017,0.51582456,8.9180927,8.2349291,14.889397,14.703917,10.152285,6.6275272,9.402915,3.5007877,1.994535
104,London,2018,0.60896468,8.0830803,13.370157,14.675628,15.121069,16.007372,11.525923,5.6927752,10.416667,5.9475427
105,London,2019,0.57690889,6.8126554,11.130944,17.849503,17.361923,16.410585,12.962953,9.083477,6.8970275,3.852006
106,London,2020,0.47205818,6.2770371,14.056066,11.375069,17.471453,13.112543,11.251185,7.0020657,2.3138506,7.7748408
107,London,2021,0.47941336,5.4099336,12.421516,12.746285,20.688675,15.97824,14.992969,10.73376,11.400429,7.7588549
108,London,2022,0.41356927,7.5565996,8.4338369,13.061216,13.83252,9.5159788,11.048079,6.4436221,5.6150756,7.5813575
109,London,2023,0.42947578,5.9749861,11.11733,12.11131,11.946267,13.322371,12.00878,7.1595798,6.7380905,7.5813575
110,,,,,,,,,,,,
111,North East,All Years,,,,,,,,,,
112,North East,2016,2.2122734,15.473249,17.307123,24.14492,18.716427,15.077397,9.5218954,5.7648516,0,4.6362834
113,North East,2017,1.4613502,15.042274,17.500013,29.199982,17.59634,17.443668,8.5245132,1.415308,2.4002688,4.579803
114,North East,2018,1.4674581,15.209604,24.23707,17.575331,15.933187,14.30912,12.764735,5.5312796,4.7311521,0
115,North East,2019,1.4730719,20.750309,20.75053,26.032423,14.0014,18.735687,12.440002,16.216434,4.6050057,4.4624929
116,North East,2020,1.1578228,14.680136,22.015579,25.51923,23.988646,19.74468,17.170677,6.7720394,9.1648531,0
117,North East,2021,0.96697271,16.380016,24.941154,30.082188,21.012129,20.850849,16.439098,13.688692,6.8124533,4.347259
118,North East,2022,1.3968698,11.072358,14.05028,21.081364,25.708427,16.866962,8.7059479,5.5190682,2.2142019,8.444519
119,North East,2023,1.1428934,12.179594,22.896751,23.855227,24.423006,21.786493,16.541302,6.8988357,11.07101,4.2222595
120,,,,,,,,,,,,
121,North West,All Years,,,,,,,,,,
122,North West,2016,1.388069,16.323427,21.752134,18.37768,21.028461,17.007231,9.3776884,9.0404673,6.6239581,1.7055242
123,North West,2017,1.255048,12.448435,18.977854,19.284115,19.865324,12.969907,11.32164,8.3370848,3.7273796,3.3847249
124,North West,2018,1.6276633,15.721582,18.29751,22.816807,15.175817,17.048,15.083136,8.11166,3.710403,8.4408131
125,North West,2019,1.1201179,12.499807,18.2477,20.642969,23.528976,15.085678,11.150158,13.157133,3.6485364,3.2882297
126,North West,2020,1.2538308,13.23735,21.827106,19.834314,18.121977,17.265514,10.903239,5.7574744,3.6378188,4.9992499
127,North West,2021,1.053664,14.030411,19.473135,27.076681,25.980154,21.627438,13.101724,10.511434,7.9991469,9.8249521
128,North West,2022,1.039307,13.393948,17.10096,23.665915,24.486946,14.707678,12.283177,9.9188223,2.6043248,4.8240819
129,North West,2023,0.77948028,11.03031,20.793213,26.922693,26.831442,16.927706,16.930866,9.3967791,6.0767579,6.4321089
130,,,,,,,,,,,,
131,South East,All Years,,,,,,,,,,
132,South East,2016,1.063053,12.004018,13.429911,18.345938,15.225721,11.235571,9.5785437,5.585032,7.3125658,2.1715763
133,South East,2017,0.83332872,10.815634,13.550926,18.236305,15.935991,14.231109,8.4567699,6.7756701,1.9608612,3.2135742
134,South East,2018,0.7278319,11.843652,17.484032,24.617975,17.092117,13.196853,10.998023,5.7957573,7.124629,1.066587
135,South East,2019,0.85361785,14.742961,16.054409,18.011284,18.659712,13.595027,13.200885,7.2661805,2.5607538,4.1371465
136,South East,2020,0.92624819,12.481753,18.963337,17.729193,18.941044,13.712263,12.690612,4.7913179,5.7244625,2.0780947
137,South East,2021,0.94101453,12.187022,18.943306,20.49139,20.278288,21.052017,17.435081,7.2433152,6.2410674,7.1830235
138,South East,2022,0.77529281,7.6830525,13.668923,15.271703,14.629554,14.782879,8.1465187,9.4797964,2.443315,4.9927607
139,South East,2023,0.72243196,8.6050186,12.747423,17.402639,16.749779,13.679679,11.602618,9.4797964,3.0541439,2.9956563
140,,,,,,,,,,,,
141,South West,All Years,,,,,,,,,,
142,South West,2016,1.1360985,10.527503,16.74551,20.583591,13.70637,12.426047,10.884379,9.9492588,4.7859254,4.7134981
143,South West,2017,0.94988674,13.869935,19.998055,15.431211,15.88941,14.811033,12.972272,7.944171,5.6500368,3.1263678
144,South West,2018,1.0417697,13.595958,17.367462,21.998341,15.754568,8.1347599,8.0006046,9.5868082,2.7999439,0
145,South West,2019,0.98188454,16.644474,19.705896,22.735752,18.693594,13.304045,14.348777,5.249589,4.6107597,3.0301652
146,South West,2020,1.1379651,13.824341,16.759888,21.032705,19.854012,17.004509,10.069317,7.4937887,8.2361012,0
147,South West,2021,1.1655065,12.348448,18.594955,22.479303,26.526016,17.247932,12.937546,9.1883793,6.3069315,1.4721036
148,South West,2022,0.94321048,11.763051,16.730721,20.492676,14.291492,12.31675,11.800065,11.260944,4.4197721,7.2906489
149,South West,2023,0.73022747,13.553081,15.033401,20.758814,21.589275,15.088018,10.411822,9.5718021,4.4197721,4.3743892
150,,,,,,,,,,,,
151,West Midlands,All Years,,,,,,,,,,
152,West Midlands,2016,0.73253953,9.656477,13.385013,10.31669,12.606803,6.4840207,9.6278582,6.2108374,2.2459292,3.9622791
153,West Midlands,2017,1.0013361,9.3172655,12.681784,14.643433,13.773924,8.5610943,7.5145783,5.4034705,1.0966595,3.9083874
154,West Midlands,2018,0.91935623,10.454503,16.922655,15.681208,15.719116,10.052237,7.2895508,10.516214,7.6105981,5.8527451
155,West Midlands,2019,1.1631103,9.1999216,17.276899,18.206842,16.894745,12.384795,7.4295931,7.0257912,6.4166317,3.7863011
156,West Midlands,2020,1.031155,10.683475,17.144802,15.683435,16.014557,12.315903,8.548893,4.4413142,7.4457788,5.6739736
157,West Midlands,2021,0.89657372,12.845495,18.135609,20.444523,21.059425,14.324595,12.634239,8.9253836,3.1343706,7.4292827
158,West Midlands,2022,0.80685502,8.3306179,13.972997,16.740486,21.450525,15.61901,13.033296,10.72738,4.0678515,0
159,West Midlands,2023,1.1564922,10.290763,14.721551,13.619378,15.0824,14.554077,7.3312292,8.8343124,9.1526661,10.880999
160,,,,,,,,,,,,
161,Yorkshire and the Humber,All Years,,,,,,,,,,
162,Yorkshire and the Humber,2016,1.1447098,12.367314,16.78549,15.207583,16.251284,13.526651,7.707129,7.4283719,6.2216139,2.237587
163,Yorkshire and the Humber,2017,1.2948085,14.645616,18.378817,20.26733,14.371749,15.764623,13.76887,5.0955787,4.9003992,8.8609276
164,Yorkshire and the Humber,2018,1.0921967,13.577024,17.70578,19.861685,19.318174,11.005701,10.836056,10.671295,3.6246767,4.4361634
165,Yorkshire and the Humber,2019,1.2134026,10.70991,20.066908,22.993719,21.987764,12.204971,12.568604,4.8781509,3.543921,4.316205
166,Yorkshire and the Humber,2020,1.0110481,16.566349,20.2666,19.609003,17.87093,13.847957,11.666481,4.8652329,3.5106606,2.16868
167,Yorkshire and the Humber,2021,1.134477,14.433233,21.886219,27.603863,21.297667,15.151675,15.073936,7.0443869,5.7448153,4.2250247
168,Yorkshire and the Humber,2022,0.70931315,12.733041,15.385839,16.831686,16.748549,11.509573,10.139797,3.5205812,3.3634551,4.1587825
169,Yorkshire and the Humber,2023,0.82753199,10.87614,16.18166,19.784613,19.191046,10.76702,15.430126,9.153511,10.090364,4.1587825
170,,,,,,,,,,,,
171,Emergency route,All Years,,,,,,,,,,
172,Emergency route,2016,0.065334417,0.61965948,0.85858256,0.75060397,0.89048517,0.96586347,1.0022016,0.52030724,0.59506381,0.20498271
173,Emergency route,2017,0.025575429,0.40811777,0.86444718,1.1428564,1.1571821,0.5413298,0.88512349,0.60693032,0.31250033,0.6056397
174,Emergency route,2018,0.070961848,0.63889927,0.97698361,1.1175511,0.99083269,1.0971987,1.0518365,0.52773857,0.82673323,1.4020301
175,Emergency route,2019,0,0,0,0,0,0,0,0,0,0
176,Emergency route,2020,0,0,0,0,0,0,0,0,0,0
177,Emergency route,2021,0,0,0,0,0,0,0,0,0,0
178,Emergency route,2022,0.056417182,0.68075764,0.74662465,1.1149486,1.4396597,1.0990648,1.0155959,0.70391893,0.48707592,0.77678955
179,Emergency route,2023,0.06487976,0.7331236,1.1843013,1.2007139,1.2682717,0.90957087,1.0968436,0.83190417,1.0715671,1.1651843
180,,,,,,,,,,,,
181,Non-emergency route,All Years,,,,,,,,,,
182,Non-emergency route,2016,0.94876939,10.534211,14.684723,15.762684,13.78603,10.666492,8.1289673,5.4260612,4.5224853,2.4597926
183,Non-emergency route,2017,0.93492407,10.611062,13.5523,15.673459,13.85112,10.934862,7.237186,5.3274994,2.8125029,2.8263187
184,Non-emergency route,2018,0.86289603,11.040179,14.980415,17.018705,14.402461,10.759626,8.4647799,6.3328633,3.6169579,2.4034803
185,Non-emergency route,2019,0,0,0,0,0,0,0,0,0,0
186,Non-emergency route,2020,0,0,0,0,0,0,0,0,0,0
187,Non-emergency route,2021,0,0,0,0,0,0,0,0,0,0
188,Non-emergency route,2022,0.6995731,9.6091557,13.876921,15.866576,15.596313,12.392902,8.165391,7.1031818,3.0198708,3.4955528
189,Non-emergency route,2023,0.70803565,9.1116791,13.773938,16.924349,16.624641,13.41617,10.155959,7.2951598,4.5785136,4.2723422
190,,,,,,,,,,,,
191,Early stage,All Years,,,,,,,,,,
192,Early stage,2016,0.10510319,1.0327657,1.8948029,1.8765099,1.5171229,1.5117862,1.2805908,0.66896641,1.0711149,0.40996543
193,Early stage,2017,0.12219372,1.1733385,0.97598875,1.8612232,1.5779756,1.5157235,0.67685914,0.67436701,0.7291674,0
194,Early stage,2018,0.107862,1.0477948,1.4926139,1.6284316,1.5216359,1.9466429,1.1520114,0.72564059,0.82673323,0.60087007
195,Early stage,2019,0.55612946,6.9569626,7.9202046,8.9826984,7.8151255,5.4122381,3.8562617,2.7332308,0.91218406,0.57996452
196,Early stage,2020,0.56194127,7.0011077,8.9175987,8.5765076,7.7551212,5.6373534,3.5419202,1.6432914,1.0051717,0.95956951
197,Early stage,2021,0.48168018,6.7049918,9.2962151,10.366513,9.275568,7.9485703,4.6324253,2.764442,1.9032165,1.1939776
198,Early stage,2022,0,0,0,0,0,0,0,0,0,0
199,Early stage,2023,0,0,0,0,0,0,0,0,0,0
200,,,,,,,,,,,,
201,Advanced stage,All Years,,,,,,,,,,
202,Advanced stage,2016,0.90616,9.9145517,13.382046,14.227357,12.565735,9.4486637,7.4608335,4.3111172,3.3323574,1.8448445
203,Advanced stage,2017,0.83546406,9.8203335,13.273447,14.399991,12.693937,9.5995817,6.9247894,4.6531324,2.1875024,2.8263187
204,Advanced stage,2018,0.79477268,10.426836,14.356232,16.156595,13.199306,9.3084927,7.6633801,5.3433533,2.5835414,2.4034803
205,Advanced stage,2019,0.29792649,4.2772436,6.3043771,7.6772547,8.9873943,6.0058384,5.1095467,3.4490769,2.3311369,1.9332151
206,Advanced stage,2020,0.30367532,4.2626672,6.8837605,7.5497432,8.4601326,7.3076801,5.2898808,2.497803,2.8144805,1.3433973
207,Advanced stage,2021,0.30781931,4.5645518,6.9463382,9.0743704,9.3805742,7.9485703,6.7573915,4.0150228,2.4040627,2.5869515
208,Advanced stage,2022,0,0,0,0,0,0,0,0,0,0
209,Advanced stage,2023,0,0,0,0,0,0,0,0,0,0
210,,,,,,,,,,,,
211,Male/IMD1,All Years,,,,,,,,,,
212,Male/IMD1,2016,1.7601008,26.52203,34.169758,33.473621,34.997097,28.391207,15.595502,12.03978,11.153495,4.9169044
213,Male/IMD1,2017,1.4221237,20.752329,33.437359,32.280819,37.822689,26.307211,18.962503,14.269067,2.1890938,9.481369
214,Male/IMD1,2018,1.5938872,23.106085,36.11216,40.747425,34.483551,32.287724,22.973793,23.364487,4.3389597,9.3361969
215,Male/IMD1,2019,1.5415138,19.045399,35.153976,40.039585,36.568253,29.878458,23.420906,17.122505,6.4216452,17.984802
216,Male/IMD1,2020,1.5892693,21.06138,38.987068,33.398418,34.13451,38.70293,24.001152,13.825681,6.4326606,8.9996853
217,Male/IMD1,2021,1.4868833,19.151316,31.413866,48.44492,48.01778,46.710617,29.804819,12.803933,15.984229,10.546854
218,Male/IMD1,2022,1.4171686,17.076454,24.521311,39.468536,32.654305,33.895527,20.220024,18.063583,7.8041673,5.0448995
219,Male/IMD1,2023,1.3656352,16.507238,24.521311,36.674305,40.258728,27.881804,25.462252,19.35384,10.405557,0
220,,,,,,,,,,,,
221,Male/IMD2,All Years,,,,,,,,,,
222,Male/IMD2,2016,1.3856553,17.633383,27.04598,31.631437,22.441395,19.301685,20.523907,12.925035,15.990619,0
223,Male/IMD2,2017,1.2787744,20.65761,21.604122,34.213791,29.271458,19.548613,11.530036,10.701951,3.472584,7.5503039
224,Male/IMD2,2018,0.91736901,17.870241,27.781143,29.904093,21.270618,20.032944,19.227327,13.289163,12.081255,0
225,Male/IMD2,2019,1.4515828,21.608702,29.626732,32.636169,36.628708,23.447983,14.786908,23.106215,11.801002,7.0594049
226,Male/IMD2,2020,1.0666476,18.19359,26.378117,32.628731,29.011904,25.196447,21.325573,8.3049583,3.3448732,3.4757221
227,Male/IMD2,2021,1.1479468,18.872808,28.651926,32.818295,38.378468,26.120914,31.77293,23.984497,14.463669,11.147858
228,Male/IMD2,2022,1.0012299,15.545356,23.123835,24.432114,31.510509,23.164339,22.263069,19.998095,8.8367329,7.256104
229,Male/IMD2,2023,1.0282902,15.818081,27.302841,33.111942,28.718439,29.068975,21.121374,13.332064,10.604079,10.884156
230,,,,,,,,,,,,
231,Male/IMD3,All Years,,,,,,,,,,
232,Male/IMD3,2016,1.3510793,13.565708,28.481667,24.716759,22.170242,17.274353,11.972838,8.9313259,5.8432546,6.4092293
233,Male/IMD3,2017,1.7722132,18.734035,20.307718,21.95627,21.929825,22.558512,12.923308,7.1261163,5.6566687,3.0841353
234,Male/IMD3,2018,1.5990274,15.455873,26.707048,24.068701,21.78137,17.256441,20.136602,12.985525,19.499422,8.9868793
235,Male/IMD3,2019,0.92551535,16.788595,24.117825,27.868498,31.542868,25.361311,16.585209,10.376827,9.5097065,5.6816568
236,Male/IMD3,2020,1.3706244,17.985704,26.905104,24.472466,28.779402,23.032951,12.483023,8.7915306,10.731053,5.5950317
237,Male/IMD3,2021,1.3445286,21.264587,30.464905,29.249023,35.357018,24.273144,25.160398,17.170971,10.504339,8.5952501
238,Male/IMD3,2022,1.3336024,19.427759,24.176567,29.56588,27.707535,17.270121,16.813639,11.792018,3.8272629,13.891204
239,Male/IMD3,2023,1.1261531,17.830957,19.237268,31.029537,29.461176,19.522743,20.795816,10.318016,10.206035,11.112964
240,,,,,,,,,,,,
241,Male/IMD4,All Years,,,,,,,,,,
242,Male/IMD4,2016,1.4309615,17.474661,18.584377,21.509657,20.675396,18.089588,16.293665,10.360164,5.3730941,2.9649835
243,Male/IMD4,2017,1.6168993,17.58601,26.886808,28.746706,20.998243,16.427273,17.597706,15.103785,2.594202,5.6924915
244,Male/IMD4,2018,1.2815075,18.347759,23.804747,25.46394,26.520857,21.922649,8.9872828,11.832507,5.0264516,8.2580929
245,Male/IMD4,2019,1.4965396,20.439091,20.345348,26.179445,28.637171,18.989746,16.551594,12.775858,4.8567266,5.1996675
246,Male/IMD4,2020,1.5554827,17.914997,24.206289,25.521105,26.510067,20.458134,14.92956,5.3137784,4.7620182,5.0752406
247,Male/IMD4,2021,1.2550875,16.847715,29.225075,35.410248,29.909592,25.828558,17.803717,16.035063,7.8649917,12.667849
248,Male/IMD4,2022,0.92773372,12.36904,21.370022,23.930466,30.416166,18.03583,12.994172,11.168927,6.5764956,0
249,Male/IMD4,2023,1.2476419,15.00075,22.642048,27.064217,24.065538,20.46373,14.962986,13.139914,6.5764956,7.3831615
250,,,,,,,,,,,,
251,Male/IMD5,All Years,,,,,,,,,,
